"之","zhī","marks preceding phrase as modifier of following phrase; it, him her, them; go to"
"部","bù","part, division, section"
"无","wú","negative, no, not; KangXi radical 71"
"与","yǔ","and; with; to; for; give, grant"
"民","mín","people, subjects, citizens"
"此","cǐ","this, these; in this case, then"
"使","shǐ","cause, send on a mission, order; envoy, messenger, ambassador"
"性","xìng","nature, character, sex"
"全","quán","maintain, keep whole or intact"
"将","jiāng","will, going to, future; general"
"由","yóu","cause, reason; from"
"并","bìng","and; furthermore; also; together with; to combine; to merge"
"美","měi","beautiful, pretty; pleasing"
"利","lì","gains, advantage, profit, merit"
"合","hé","combine, unite, join; gather"
"内","nèi","inside"
"度","dù","degree, system; manner; to consider"
"任","rèn","trust to, rely on, appoint; to bear, duty, office; allow"
"海","hǎi","sea, ocean; maritime"
"通","tōng","pass through, common, communicate"
"原","yuán","source, origin, beginning"
"及","jí","extend; reach; come up to; and"
"论","lùn","debate; discuss; discourse"
"处","chù","place, locale; department"
"各","gè","each, individually, every, all"
"入","rù","enter, come in(to), join"
"活","huó","live, exist, survive; lively"
"尔","ěr","you; that, those; final particle"
"何","hé","what, why, where, which, how"
"反","fǎn","reverse, opposite, contrary, anti"
"受","shòu","receive, accept, get; bear, stand"
"量","liàng","measure, quantity, capacity"
"建","jiàn","build, establish, erect, found"
"计","jì","plan, plot; strategem; scheme"
"管","guǎn","pipe, tube, duct; woodwind music"
"资","zī","property; wealth; capital"
"命","mìng","life; destiny, fate, luck; an order, instruction"
"金","jīn","gold; metals in general; money"
"指","zhǐ","finger, toe; point, indicate"
"克","kè","gram; overcome; transliteration"
"许","xǔ","allow, permit; promise; betroth"
"区","qū","area, district, region, ward"
"保","bǎo","protect, safeguard, defend, care"
"至","zhì","reach, arrive; extremely, very"
"队","duì","team, group; army unit"
"社","shè","god of the soil and altars to him; group of families; company, society"
"展","zhǎn","open, unfold; stretch, extend"
"科","kē","section, department, science"
"基","jī","foundation, base"
"则","zé","rule, law, regulation; grades"
"却","què","still, but; decline; retreat"
"光","guāng","light, brilliant, shine; only"
"即","jí","promptly, quickly, immediately"
"象","xiàng","elephant; ivory; figure, image"
"式","shì","style, system, formula, rule"
"程","chéng","journey, trip; schedule, agenda"
"死","sǐ","die; dead; death"
"交","jiāo","mix; intersect; exchange, communicate; deliver"
"规","guī","rules, regulations, customs, law"
"取","qǔ","take, receive, obtain; select"
"拉","lā","pull, drag; seize, hold; lengthen"
"格","gé","pattern, standard, form; style"
"术","shù","art, skill, special feat; method, technique"
"确","què","sure, certain; real, true"
"传","chuán","summon; propagate, transmit"
"观","guān","see, observe, view; appearance"
"切","qiè","cut, mince, slice, carve"
"导","dǎo","direct, guide, lead, conduct"
"争","zhēng","dispute, fight, contend, strive"
"改","gǎi","change, alter; improve, remodel"
"收","shōu","gather together, collect; harvest"
"言","yán","words, speech; speak, say"
"联","lián","connect, join; associate, ally"
"持","chí","sustain, support; hold, grasp"
"济","jì","help, aid, relieve; ferry, cross"
"亲","qīn","relatives, parents; intimate the hazel nut or filbert tree a thorny tree"
"林","lín","forest, grove; surname"
"士","shì","scholar, gentleman; soldier"
"证","zhèng","prove, confirm, verify; proof"
"失","shī","lose; make mistake, neglect"
"转","zhuǎn","shift, move, turn"
"存","cún","exist, live, be; survive; remain"
"台","tái","platform; unit; term of address"
"具","jù","tool, implement; draw up, write"
"流","liú","flow, circulate, drift; class"
"连","lián","join, connect; continuous; even"
"深","shēn","deep; depth; far; very, extreme"
"质","zhì","matter, material, substance"
"价","jià","price, value"
"整","zhěng","orderly, neat, tidy; whole"
"况","kuàng","condition, situation; furthermore"
"亚","yà","Asia; second"
"技","jì","skill, ability, talent, ingenuity"
"际","jì","border, boundary, juncture"
"约","yuē","treaty, agreement, covenant"
"示","shì","show, manifest; demonstrate"
"究","jiū","examine, investigate"
"线","xiàn","line, thread, wire; clue"
"断","duàn","sever, cut off; interrupt"
"精","jīng","essence; semen; spirit"
"支","zhī","disperse, pay; support; branch"
"消","xiāo","vanish, die out; melt away"
"增","zēng","increase, add to, augment"
"研","yán","grind, rub; study, research"
"功","gōng","achievement, merit, good result"
"广","guǎng","wide, extensive, broad; rad. 53"
"标","biāo","mark, symbol, label, sign; stand the bole of a tree"
"谈","tán","talk; conversation; surname"
"引","yǐn","to pull, draw out, attract; to stretch"
"首","shǒu","head; first; leader, chief; a poem"
"局","jú","bureau, office; circumstance"
"专","zhuān","monopolize, take sole possession"
"费","fèi","expenses, expenditures, fee"
"尽","jǐn","exhaust, use up; deplete"
"另","lìng","another, separate, other"
