"斯","sī","this, thus, such; to lop off; emphatic particle"
"党","dǎng","political party, gang, faction"
"陈","chén","exhibit, display; plead; a surname"
"攻","gōng","attack, assault; criticize"
"苏","sū","to revive; Soviet; Jiangsu; Suzhou; Perilla frutescens"
"帝","dì","supreme ruler, emperor; god"
"若","ruò","if, supposing, assuming; similar"
"波","bō","waves, breakers; undulations"
"异","yì","different, unusual, strange"
"策","cè","scheme, plan; to whip; urge"
"罪","zuì","crime, sin, vice; evil; hardship"
"州","zhōu","administrative division, state"
"宗","zōng","lineage, ancestry; ancestor, clan"
"协","xié","be united; cooperate"
"审","shěn","examine, investigate; judge"
"皇","huáng","royal, imperial; ruler, superior"
"副","fù","assist; supplement; assistant"
"抗","kàng","resist, oppose, defy, reject"
"犯","fàn","commit crime, violate; criminal"
"田","tián","field, arable land, cultivated"
"央","yāng","center, conclude, run out; beg"
"伯","bó","father's elder brother; senior; uncle; eldest of brothers; Count"
"监","jiān","supervise, control, direct"
"露","lù","dew; bare, open, exposed"
"野","yě","open country, field; wilderness"
"舰","jiàn","warship"
"湾","wān","bay, cove, inlet, bend of stream"
"吉","jí","lucky, propitious, good"
"剑","jiàn","sword, dagger, saber"
"亦","yì","also, too; likewise"
"恩","ēn","kindness, mercy, charity"
"鲁","lǔ","foolish, stupid, rash; vulgar"
"端","duān","end, extreme; head; beginning"
"探","tàn","find, locate; search, grope for"
"湖","hú","a lake; Hubei, Hunan; bluish-green"
"予","yǔ","I, me; to give"
"港","gǎng","port, harbor; small stream; bay"
"额","é","forehead; tablet, plaque; fixed"
"督","dū","supervise, oversee, direct"
"泽","zé","marsh, swamp; grace, brilliance"
"灭","miè","extinguish; wipe out, exterminate"
"莫","mò","do not, is not, can not; negative"
"亡","wáng","death, destroyed; lose, perish"
"圣","shèng","holy, sacred"
"诺","nuò","promise; assent, approve"
"伦","lún","normal human relationships"
"奥","ào","mysterious, obscure, profound"
"唐","táng","Tang dynasty; Chinese"
"堂","táng","hall; government office"
"宫","gōng","palace"
"君","jūn","sovereign, monarch, ruler, chief, prince"
"谋","móu","plan, scheme; strategem"
"镇","zhèn","town, market place; suppress"
"凡","fán","all, any, every; ordinary, common"
"诸","zhū","various, all, these; surname"
"庄","zhuāng","village, hamlet; villa, manor"
"祖","zǔ","ancestor, forefather; grandfather"
"暴","bào","violent, brutal, tyrannical"
"塔","tǎ","tower, spire, tall building"
"隐","yǐn","hide, conceal; hidden, secret"
"蒙","méng","cover; ignorant; suffer; mongolia"
"欲","yù","desire, want, long for; intend"
"遭","zāo","come across, meet with, encounter"
"徒","tú","disciple, follower; go on foot"
"姆","mǔ","woman who looks after small children; female tutor"
"曲","qū","crooked, bent; wrong, false"
"塞","sāi","stop up, block, seal, cork; pass, frontier; fortress"
"侵","qīn","invade, encroach upon, raid"
"刑","xíng","punishment, penalty; law"
"谷","gǔ","valley, gorge, ravine"
"川","chuān","stream, river; flow; boil"
"潜","qián","hide; hidden, secret, latent"
"抵","dǐ","resist, oppose; deny; off-set"
"杰","jié","hero; heroic, outstanding"
"郑","zhèng","Zheng state; surname Zheng"
"混","hùn","to mix, blend, mingle; to bumble along"
"臣","chén","minister, statesman, official"
"雅","yǎ","elegant, graceful, refined"
"盛","shèng","abundant, flourishing; contain; fill"
"怒","nù","anger, rage, passion; angry"
"残","cán","injure, spoil; oppress; broken"
"宇","yǔ","house; building, structure; eaves"
"猛","měng","violent, savage, cruel; bold"
"毁","huǐ","destroy"
"盟","méng","swear; oath, covenant, alliance"
"丁","dīng","male adult; robust, vigorous; 4th heavenly stem"
"魔","mó","demon, evil spirits; magic power"
"沿","yán","follow a course, go along"
"啦","la","final particle of assertion"
"瓦","wǎ","tile; earthenware pottery; girl"
"援","yuán","aid, assist; lead; cite"
"夺","duó","take by force, rob, snatch"
"偏","piān","inclined one side; slanting"
"袭","xí","raid, attack; inherit"
